Maori,English,Category,Definition,Level
miro,thread,clothing,Pending,2
piupiu,flax skirt,Clothing,Pending,3
poraka,jersey,Clothing,Pending,7
potae,hat,Clothing,Pending,7
tarau,trousers,clothing,Pending,7
tokena,socks,clothing,Pending,2
atua,god,Culture / Religion,Pending,4
haka,war dance,Culture / Religion,Pending,4
haki,flag,Culture / Religion,Pending,7
karakia,prayer,Culture / Religion,Pending,6
kehua,ghost,Culture / Religion,Pending,2
kete,basket,Culture / Religion,Pending,3
marae,marae,Culture / Religion,Pending,9
mauri,life spirit,Culture / Religion,Pending,2
pounamu,greenstone,Culture / Religion,Pending,5
wairua,spirit,Culture / Religion,Pending,2
haunga,smelly,Descriptive,Pending,2
kahurangi,blue,Descriptive,Pending,2
kakariki,green,Descriptive,Pending,10
kano,colour,Descriptive,Pending,8
karaka,orange,Descriptive,Pending,1
koi,sharp,Descriptive,Pending,8
kowhai,yellow,Descriptive,Pending,4
kura,red,Descriptive,Pending,1
ma,white,Descriptive,Pending,10
mahana,warm,Descriptive,Pending,10
mama,easy,Descriptive,Pending,1
mamae,sore,Descriptive,Pending,4
matao,cold,Descriptive,Pending,1
matekai,hungry,Descriptive,Pending,6
nuinga,majority,Descriptive,Pending,8
paku ,small,Descriptive,Pending,7
pakupaku,very small,Descriptive,Pending,6
pango,black,Descriptive,Pending,9
parauri,brown,Descriptive,Pending,10
poto,short,Descriptive,Pending,7
pukaha,engine,Descriptive,Pending,10
reka,sweet,Descriptive,Pending,6
toa,brave,Descriptive,Pending,9
aroha,love,Emotions,Pending,8
awangawanga,worried,Emotions,Pending,10
harikoa,happy,Emotions,Pending,6
kao,no!,Emotions,Pending,10
kino,bad,Emotions,Pending,7
koa,happy,Emotions,Pending,5
mataku,scared,Emotions,Pending,8
mokemoke,lonely,Emotions,Pending,5
roimata,tears,emotions,Pending,9
tangi,to cry,emotions,Pending,1
aihikirimi,ice cream,Food,Pending,8
aporo,apple,Food,Pending,7
hakari,feast,Food,Pending,6
hangi,oven,food,Pending,1
heki,egg,Food,Pending,9
hinu,oil,Food,Pending,7
hua,fruit,Food,Pending,3
huka,sugar,Food,Pending,4
inu,to drink,Food,Pending,4
kai,food,Food,Pending,10
kaimoana,seafood,food,Pending,5
kakano,seed,Food,Pending,6
kanga,corn,Food,Pending,1
kapu,cup,Food,Pending,9
kareti,carrot,food,Pending,9
keke,cake,Food,Pending,10
kohua,to boil,Food,Pending,9
kumara,sweet potato,Food,Pending,7
miere,honey,food,Pending,7
miraka,milk,food,Pending,2
miti,meat,food,Pending,1
panana,banana,food,Pending,3
parakuihi,breakfast,food,Pending,10
pata,butter,food,Pending,6
patiki,flounder (fish),food,Pending,2
paua,abalone,food,Pending,7
pea,pear,food,Pending,7
pekana,bacon,food,Pending,8
riwai,potato,food,Pending,2
tao,to cook,food,Pending,4
ti,tea,food,Pending,5
tote,salt,food,Pending,5
wai,water,food,Pending,2
wai,juice,food,Pending,3
haurua,half,Math / Number,Pending,2
hia,how many?,Math / Number,Pending,9
iwa,nine,Math / Number,Pending,6
kaute,to count,Math / Number,Pending,6
kauwhata,graph,Math / Number,Pending,3
kiromita,kilometre,Math / Number,Pending,7
kotahi,one,Math / Number,Pending,2
maha,many,Math / Number,Pending,5
mano,thousand,Math / Number,Pending,8
miriona,million,Math / Number,Pending,10
mita,metre,Math / Number,Pending,4
nama,number,Math / Number,Pending,2
ono,six,Math / Number,Pending,10
pae,circumference,Math / Number,Pending,8
pangarau,mathematics,Math / Number,Pending,6
rau,hundred,Math / Number,Pending,10
rima,five,Math / Number,Pending,5
rua,two,Math / Number,Pending,7
tekau,ten,Math / Number,Pending,5
toru,three,Math / Number,Pending,8
tuarua,second,Math / Number,Pending,8
tuatahi,first,Math / Number,Pending,4
tuatoru,third,Math / Number,Pending,9
tuawha,fourth,Math / Number,Pending,3
wha,four,Math / Number,Pending,5
ahi,fire,Outdoors,Pending,8
ana,cave,Outdoors,Pending,4
anga,shell,Outdoors,Pending,3
aorangi,planet,Outdoors,Pending,1
ara,path,Outdoors,Pending,4
auahi,smoke,Outdoors,Pending,1
awa,river,Outdoors,Pending,4
awatea,daylight,Outdoors,Pending,1
haerenga,journey,Outdoors,Pending,3
harakeke,flax,Outdoors,Pending,8
huka,ice,Outdoors,Pending,3
kapua,cloud,Outdoors,Pending,8
kirikiri,sand,Outdoors,Pending,2
kohanga,nest,Outdoors,Pending,5
kohatu,stone,Outdoors,Pending,3
makariri,cold,Outdoors,Pending,1
manga,stream,Outdoors,Pending,9
mara,garden,Outdoors,Pending,5
marangai,rain,Outdoors,Pending,10
maunga,mountain,Outdoors,Pending,1
moana,sea,Outdoors,Pending,7
motu,island,Outdoors,Pending,8
ngahere,forest,Outdoors,Pending,1
ngaru,wave,Outdoors,Pending,9
pohatu,stone,Outdoors,Pending,6
puke,hill,Outdoors,Pending,3
waiariki,hot spring,Outdoors,Pending,10
waka,canoe,Outdoors,Pending,8
ariki,leader,People,Pending,6
hapu,pregnant,People,Pending,2
hauora,healthy,People,Pending,9
hinengaro,intellect,People,Pending,2
hoa,friend,People,Pending,6
hoariri,enemy,People,Pending,7
hoia,soldier,People,Pending,1
ihu,nose,People,Pending,2
iwi,tribe,People,Pending,8
kaikorero,speaker,People,Pending,2
kaimahi,worker,People,Pending,3
kaiputaiao,scientist,People,Pending,7
kaituhi,author,People,Pending,4
kaiwhakahaere,manager,People,Pending,2
kaki,neck,People,Pending,2
kamo,eye,People,Pending,8
kanohi,face,People,Pending,7
kapene,captain,People,Pending,4
karani,grandmother,People,Pending,1
karere,messenger,People,Pending,4
karu,eye,People,Pending,9
kaumatua,elder,People,Pending,8
kawanatanga,government,People,Pending,1
kiri,skin,People,Pending,6
koka,aunt,People,Pending,3
kotiro,girl,People,Pending,8
kuini,queen,People,Pending,10
mahunga,head,People,Pending,1
mama,mother,People,Pending,8
mana,honour,People,Pending,4
manawa,heart,People,Pending,10
manuhiri,guest,People,Pending,6
mokopuna,grandchild,People,Pending,2
nanakia,rascal,People,Pending,6
niho,tooth,People,Pending,9
pani,orphan,People,Pending,10
pepi,baby,People,Pending,6
pirihimana,police officer,People,Pending,5
pukapuka,lungs,People,Pending,4
taitama,young man,People,Pending,5
takuta,doctor,People,Pending,5
tamahine,daughter,People,Pending,8
tamaiti,child,People,Pending,1
tamatane,boy,People,Pending,5
tane,man,People,Pending,7
tangata,people,People,Pending,6
taringa,ear,People,Pending,7
waewae,foot,people,Pending,2
waha,mouth,people,Pending,4
akau,coast,Places,Pending,9
manga,branch,plants,Pending,10
patiti,grass,plants,Pending,9
putiputi,flower,plants,Pending,8
rau,leaf,plants,Pending,5
ti,cabbage tree,plants,Pending,4
akonga,student,School,Pending,6
hangarau,technology,school,Pending,4
kaiako,teacher,school,Pending,6
kareti,college,school,Pending,3
kura,school,school,Pending,8
matauranga,education,school,Pending,8
mohiotanga,knowledge,school,Pending,1
putaiao,science,school,Pending,10
tari,study,school,Pending,3
tauira,student,school,Pending,3
hakinakina,sport,sport,Pending,5
kaitakaro,player,Sport,Pending,6
hiko,electricity,technology,Pending,9
irirangi ,radio,technology,Pending,2
mihini,machine,technology,Pending,2
pahi,bus,technology,Pending,7
poti,boat,technology,Pending,2
pouaka whakaata,television,technology,Pending,10
rererangi,airplane,technology,Pending,6
rongoa,medicine,technology,Pending,7
rorohiko,computer,technology,Pending,3
taraka,truck,technology,Pending,1
waea,telephone,technology,Pending,1
waka,car,technology,Pending,1
wira,wheel,technology,Pending,4
ahiahi,afternoon,Time,Pending,3
akuanei,soon,Time,Pending,6
apopo,tomorrow,Time,Pending,7
haora,hour,Time,Pending,9
huritau,birthday,Time,Pending,4
karaka,clock,Time,Pending,1
marama,month,Time,Pending,5
meneti,minute,Time,Pending,3
po,night,Time,Pending,5
ra,day,Time,Pending,8
ra,sun,Time,Pending,2
roanga,length of time,Time,Pending,3
wiki,week,Time,Pending,7
